(-1.08399,13.6536,-1.01)
(-1.08399,13.6536,-0.99)
(-1.084,13.6536,0)
(-1.08401,13.6536,0.018)
(-1.084,13.6536,0.05)
(-1.084,13.6536,0.050001)
(-1.06872,13.642,18.7454)
(-1.05993,13.6321,33.7738)
(-1.05476,13.6264,42.9542)
(-1.05084,13.6226,50)
(-1.05083,13.6226,50.018)
(-1.05079,13.6226,50.05)
(-1.05079,13.6226,50.05)
(-1.03723,13.597,71.8623)
(-1.02007,13.57,95.0173)
(-1.03449,13.5565,99.7498)
(-1.04665,13.4886,108.015)
(-1.0447,13.48,108.972)
(-1.01505,13.4445,113.908)
(-0.958662,13.4049,120.054)
(-0.948983,13.3953,121.54)
(-0.944899,13.3896,122.314)
(-0.928789,13.3739,124.515)
(-0.891692,13.354,128.341)
(-0.881707,13.3202,131.011)
(-0.881365,13.3163,131.257)
(-0.881156,13.3146,131.368)
(-0.879701,13.3025,132.142)
(-0.86966,13.2387,135.549)
(-0.86611,13.2179,136.668)
(-0.855836,13.1513,140.804)
(-0.853026,13.1392,141.502)
(-0.84169,13.0892,144.257)
(-0.829098,13.0389,147.007)
(-0.822095,13.0202,147.974)
(-0.818863,13.0121,148.429)
(-0.808244,12.9855,149.742)
(-0.799789,12.9664,150.713)
(-0.799549,12.9658,150.742)
(-0.794954,12.9556,151.24)
(-0.791965,12.9485,151.557)
(-0.773991,12.9037,153.473)
(-0.770014,12.89,154.035)
(-0.76651,12.8764,154.533)
(-0.763055,12.8638,154.99)
(-0.66741,12.4498,169.859)
(-0.614794,12.2226,178.061)
(-0.473751,11.6156,200)
(-0.473642,11.6151,200.018)
(-0.47343,11.6142,200.05)
(-0.47343,11.6142,200.05)
(-0.265391,10.7273,231.618)
(-0.153025,10.1844,250)
(-0.152915,10.1839,250.018)
(-0.152709,10.183,250.05)
(-0.152709,10.183,250.05)
(-29.7127,2.70798,-1.01)
(-29.7127,2.70797,-0.99)
(-29.7129,2.70782,0)
(-29.7129,2.70782,0.018)
(-29.7129,2.70782,0.05)
(-29.7129,2.70782,0.050001)
(-29.713,2.70781,0.426718)
(-29.7147,2.70759,5.05628)
(-29.728,2.70158,50)
(-29.728,2.70158,50.018)
(-29.728,2.70158,50.05)
(-29.728,2.70158,50.05)
(-29.705,2.70332,91.1742)
(-29.684,2.70905,120.657)
(-29.6826,2.70985,123.644)
(-29.6818,2.70995,124.2)
(-29.6817,2.70979,124.804)
(-29.6817,2.70964,125.099)
(-29.6801,2.70643,126.811)
(-29.6779,2.70472,127.389)
(-29.6518,2.20912,127.573)
(-29.6355,1.7657,127.743)
(-29.6275,1.36696,127.896)
(-29.6202,1.0079,128.03)
(-29.6139,0.68766,128.148)
(-29.6101,0.399634,128.254)
